NamedNodeMap; 0; Factory Method; xalan-2.7.1;
DOMConfiguration; 0; Factory Method; xalan-2.7.1;
Node; 0; Factory Method; xalan-2.7.1;
XPathResult; 1; Factory Method; xalan-2.7.1;
XPathEvaluator; 0; Factory Method; xalan-2.7.1;
Element; 0; Factory Method; xalan-2.7.1;
Document; 0; Factory Method; xalan-2.7.1;
UnaryOperation; 0; Factory Method; xalan-2.7.1;
ExpressionContext; 1; Factory Method; xalan-2.7.1;
Serializer; 1; Factory Method; xalan-2.7.1;
TransformState; 0; Factory Method; xalan-2.7.1;
DOM; 0; Factory Method; xalan-2.7.1;
DTMManager; 1; Factory Method; xalan-2.7.1;
DTMDefaultBase; 0; Factory Method; xalan-2.7.1;
DTM; 0; Factory Method; xalan-2.7.1;
XMLString; 0; Factory Method; xalan-2.7.1;
XMLStringFactory; 1; Factory Method; xalan-2.7.1;
SAXTransformerFactory; 1; Factory Method; xalan-2.7.1;
Templates; 0; Factory Method; xalan-2.7.1;
XPathFunctionResolver; 0; Factory Method; xalan-2.7.1;
XPath; 0; Factory Method; xalan-2.7.1;
XPathFactory; 0; Factory Method; xalan-2.7.1;
